state_code,district_code,district_name,area_type,age_group,total_population,total_males,total_females,illiterate_population,illiterate_males,illiterate_females,literate_population,literate_males,literate_females
13,263,zunheboto,Total,40-44,7566,3912,3654,1257,484,773,6309,3428,2881
13,263,zunheboto,Total,45-49,5948,3078,2870,1181,418,763,4767,2660,2107
13,263,zunheboto,Total,50-54,4878,2470,2408,1329,428,901,3549,2042,1507
13,263,zunheboto,Total,55-59,3178,1643,1535,1050,367,683,2128,1276,852
13,263,zunheboto,Total,60-64,3059,1541,1518,1233,403,830,1826,1138,688
13,263,zunheboto,Total,65-69,2198,1153,1045,982,334,648,1216,819,397
13,263,zunheboto,Total,70-74,1617,841,776,904,324,580,713,517,196
13,263,zunheboto,Total,75-79,853,521,332,496,234,262,357,287,70
13,263,zunheboto,Total,80+,947,551,396,605,291,314,342,260,82
13,263,zunheboto,Total,Age not stated,51,34,17,12,9,3,39,25,14
13,263,zunheboto,Rural,All ages,113160,56786,56374,33011,15409,17602,80149,41377,38772
13,263,zunheboto,Rural,0-6,16552,8582,7970,16552,8582,7970,0,0,0
13,263,zunheboto,Rural,7,2719,1401,1318,989,521,468,1730,880,850
13,263,zunheboto,Rural,8,2825,1486,1339,513,261,252,2312,1225,1087
13,263,zunheboto,Rural,9,2637,1323,1314,386,187,199,2251,1136,1115
13,263,zunheboto,Rural,10,3246,1688,1558,427,222,205,2819,1466,1353
13,263,zunheboto,Rural,11,2963,1567,1396,243,129,114,2720,1438,1282
13,263,zunheboto,Rural,12,3136,1614,1522,191,98,93,2945,1516,1429
13,263,zunheboto,Rural,13,2759,1387,1372,144,69,75,2615,1318,1297
13,263,zunheboto,Rural,14,2733,1412,1321,136,64,72,2597,1348,1249
13,263,zunheboto,Rural,15,2918,1490,1428,160,67,93,2758,1423,1335
13,263,zunheboto,Rural,16,2846,1446,1400,178,88,90,2668,1358,1310
13,263,zunheboto,Rural,17,2446,1232,1214,151,79,72,2295,1153,1142
13,263,zunheboto,Rural,18,2766,1382,1384,185,95,90,2581,1287,1294
13,263,zunheboto,Rural,19,2127,1087,1040,157,82,75,1970,1005,965
